"Customer Care Request: Request Number","Reason for Request"
"R03190070923","Client upset that he had to pay for express shipping but wasn't aware of what ""temperature Sensitive"" meant when our items were shipped to him. Per Heidi as a courtesy to the client refund the shipping cost."
"R06190083342","Client wanted expedited shipping but with fedex it won't be delivered to his po box.  He doesn't get mail using his physical address. So we updated the order for standard usps shipping.  Per sup. refunding the shipping cost he paid for."
"R01190065330","client wanted refund for shipping, vet didn't approve until 1/16, approved by Jenae"
"R06190082136","Client wanted to return the product due to her pet having an allergic reaction to this product. Client was advised of her costing the shipping and was advised of out address to send it to and also on when she will get a refund."
"R04190073056","client wanting refund on next day shipping charge because she dint receive her order next day 1000009319449 ont itme courtsey refund but going forward she has been explained pending auth and drop ship process"
"R04190076802","Client wants a refund due to her paying next day shipping and not receiving the order by  the next day. order took a while to process."
"R04190075713","Client wants to have the shipping refunded to her becasue she still has not received her pachge which she paid extra for."
"R01190063815","Client was charged expedited shipping on food order, need a refund processed"
"R06190081458","Client was charged for shipping. Order was delayed for product being OOS and client was not contacted. Refunding per Courtney."
"R05190080685","Client was charged for shipping on her recent cat food order when she has that food on AS. Per lead Emily refunding for the shipping charge since she wasn't suppose to be charged for it."
"R04190073672","Client was charged for shipping on two separate orders for items that are on AS. I have included each order number on this one CCR."
"R06190081269","client was charged for shipping when product was on auto-ship. Refunding shipping plus 30 cents tax"
"R01190065323","client was charged shipping fee for auto-ship order please honor oer emily"
"R12180062981","Client was complaining about the cost of his shipping on food. Put in for a $5 welcome coupon refund."
"R06190084661","Client was escalated her vet never approved her order and is out of medication. Item did not ship when she was told it would. Please refund $14.95 shipping cost."
"R01190064056","Client was escalated over shipping time. Explained temp sens and holding order until Monday. Per Jenae refunding shipping fee"
"R04190073801","Client was extremely upset he  was charged for shipping, we re refunding shipping  cost."
"R03190072178","Client was missing an item on her last order. Reshipping the missing item."
"R02190066997","Client was not aware shipping fee, 2nd time ordering compounded med, did not know that shipping was waived on first order, advised that future orders may still have the fee due to temp sensitive med, 1 time refund for shipping requested."
"R06190081828","Client was permitted a refund for the shipping as the order failed to be delivered previously."
"R03190070678","client was promised he would have this order by 3/8/19, was very upset that he won't have it until Monday 3/11/19 even though that is the 2nd business day. Refunding shipping plus $5 per Emily."
"R03190072780","Client was promised overnight shipping and she did not get it overnighted, like she was promised. Refunding per Heidi W."
"R04190075123","Client was sent canned food instead of the dry food that he had ordered. Per lead Angela reshipping correct food."
"R04190075115","Client was told by rep the NDS would be  free, but it was charged - we are refunding shipping as client was escalated."
"R07190087215","Client was told it would go out yesterday, it did not, refunding shipping"
"R02190068895","Client was told that she would for sure get her order by the weekend and she did not. Refunding shipping this one time as a courtesy."
"R05190080056","Client was told that we couldn't update the shipping address on his AS order even though he called at 7am the day the order placed? AS emails weren't working so he also didn't get the shipping email to call FedEx himself to adjust the order. Reship."
"R03190071135","Client was unaware that the shipping dates do not go into effect until after clinic approves the order."
"R06190082461","Client was upset about order being delivered in 1-2 bus days because she thought shipping was overnight. Per Cory, refunding shipping as a 1 time courtesy."
"R04190074931","Client was upset about the shipping on her Vetsulin order. Told client how shipping works with this item and providing a 1 time refund for the shipping."
"R04190073863","Client was upset because she chose the 1-2 business day shipping method and the order went out today and will not arrive until Monday. Refunding shipping on this order, but let client know how our shipping time typically works."
"R02190069313","Client was upset that she did not received her product in the the 1-2 business days since she paid more for shipping. Per lead Emily refunding for 19.95 shipping on order"
"R05190079372","Client was upset that she was not informed that a temp sensitive time would not ship over the weekend. As a courtesy please refund the shipping cost."
"R12180063437","Client was very upset about the order being delivered on 12/31 after paying for a faster shipping method. Tried to explain why the order is getting there then, but client did not want to hear it and only wanted shipping refund."
"R06190082387","Client was very upset regarding 1 business day for processing the order. Submitting refund for shipping as a 1 time courtesy."
"R01190066553","Client will call, please refund shipping"
"R04190073947","Client will try his actual physical address which is 1114 Broadway St #3 Cincinnati OH 45202 please update shipping address"
"R01190066315","Clinet was told by VFC agent that her insulin would deliver on Friday but it did not. Refund shipping"
"R06190084696","Clinic, fulfillment, & shipping errors - client OK with refunding 1 order and keeping to use for his pet."
"R07190086252","Clinic accidentally approved Heartgard, but patient is due for a HW test. Per Cory, voided the tracking for HG and NG, issuing a refund for the HG, and reshipping the NG."
"R07190086248","Clinic accidentally approved Heartgard, but patient is due for a HW test. Per Cory, voided the tracking for HG and NG, issuing a refund for the HG, and reshipping the NG. Refunding $100 per Cory"
"R04190075905","clinic called upset that we didnt get order out in time for client. Per Lead ok to issue refund for shipping this one time only. Client and clinic were not aware that order would go out Friday."
"R06190083737","Clinic changed Rx before she could use the pills from this order. Clinic would not accept them back b/c they're Rx's. Per sup, we are refunding for the 14.95 shipping to appease the client"
"R07190086311","Clinic courtesy refund of shipping"
"R07190085715","clinic dropped the ball and is refunding client's expedited shipping"
"R05190078480","Clinic placed order for next day shipping and order did not leave on time."
"R02190067420","Clinic requested PSR for shipping costs due to clinic error when prescribing"
"R01190065478","Clinic selected USPS Priority mail shipping, but it has not arrived and is not expected to be delivered until 5 days after."
"R05190078738","Clinic stated they never asked for next day shipping"
"R03190070597","Clinic upset, agreed to refund shipping"
"R02190067218","Clinic upset about next day shipping order not being delivered overnight"
"R02190066952","Clinic Was Charged For ND Shipping When it Was Not Requested."
"R05190078602","Clinic was not aware that the medication wasn't shipping out until today due to CC issue. Refunding expedite fee."
"R03190070093","clinic would like to absorb shipping costs"
"R03190072345","Compounding software is down in NE and we aren't able to ship order out right now. No for sure ETA but hoping by tomorrow. Client was okay with it but did ask for a refund on the ND shipping she paid for."
"R05190078042","confirmed with client product is resellable condition. She will pay shipping back but please refund once we receive"
"R03170012811","controlled a/s went out to the incorrect address. unable to reroute since it's controlled. client is fine with having it sent back to us then send to correct address.

new shipping address is : 

1220 6th Ave. S 
Unit B203 
Edmonds, Washington 98020"
"R01190064862","courtesy 10% for shipping delay"
"R06190082725","Courtesy 20% + shipping fee for order issues related to CC declines and difficulty with website"
"R06190083751","Courtesy 50% of shipping charge"
"R01190064957","courtesy for shipping delay"
"R01190066686","courtesy one time refund of shipping fee for clinic's misunderstanding"
"R07190087064","courtesy refund due to confusion on the grassland coupon, refunding shipping"
"R03190071449","Courtesy refund due to us not reshipping the medication when promised."
"R01190065509","courtesy refund for shipping"
"R06190081427","courtesy refund for shipping"
"R02190069583","courtesy refund for Shipping per EM"
"R06190081417","Courtesy refunding shipping on order due to the delay of this order due to OOS on product. Refunding per lead Jenae the $14.95 shipping charge"
"R01190066019","courtesy refund of shipping"
"R04190074397","courtesy refund of shipping"
"R03190072538","courtesy refund of shipping, order hasn't moved since 3/19"
"R04190073745","courtesy refund of shipping $14.95- explained that her product is temp sensitive so she is charged for shipping. She says she was told she wouldn't be charged shipping after her first order (she chose expedite on the first compound order)."
"R05190077691","courtesy refund of shipping 2-3, explained that we have entered temp sensitive months, continuing forward this order will have shipping charge while in temp sensitive months."
"R02190067348","courtesy refund of shipping and handling for escalated client"
"R04190076494","Courtesy Refund per emily 50% of product cost plus shipping"
"R06190081406","courtesy refund shipping"
"R06190081422","courtesy refund shipping"
"R02190067017","courtesy shipping refund"
"R03190070098","courtesy shipping refund"
"R01190064687","crystallized - likely froze during shipping"
"R05190078725","CSR per Ersaline at the clinic for the expedited shipping"
"R07190085246","Customer's package was lost and she never received it, so a shipping care is being made as well as the CCR and a reshipping at no cost to her - approved by Cory. Shipping case number is 02564358"
"R07190087678","customer called in and said that they did not receive their Hill's® Prescription Diet® Cat c/d® Multicare Urinary Care Dry. tracked the order and it said it was delivered on Thursday the 18th but he did not receive. Confirmed shipping address on the order"
"R03190070432","Customer called in today regarding her shipping speeds, customer payed for 2nd day shipping and FedEx did not deliver this task, FedEx shows delivery for this item is to be on Thursday, Approved Shipping Refund By Angela S"
"R03190070556","Customer called regarding order #1000008573941, This has been pending with shipping due to the wrong address being entered into her order. (15378B Sprucevale Rd, East Liverpool OH)  The customer now has to go out to her vet and pick up food."
"R06190084658","Customer cancelled the auto ships for the Hill's® Prescription Diet® Cat c/d® Multicare Vegetable, Tuna & Rice Stew 2.9oz Can 24pk - It is still shipping out due to the status I could not cancel the order - Due to the pet no longer likes the food and the"
"R01190064072","Customer courtesy. His ""2 day shipping"" became very late due to us being closed on New years eve and day. Refunding 2nd day cost."
"R06190083017","Customer did not receive his order - Had a PO Box -I updated the address to the physical address - Food shipping FedEx"
"R06190082872","Customer did not receive this order. No updated shipping information shows per tracking # 106909614131"
"R07190086939","Customer had an order of Apoquel go to her previous address by mistake and she is unable to go get it so we are re-shipping a new order for her at no cost with next day shipping - MH - Approved by Super Shaila"
"R03190071400","Customer had this order flagged for rush shipping, unfortunately the flag did not stick to this item and will not be delivered until end of day 03/19.
Approved 20% Discount to the following order."
"R06190083616","Customer has royal canin GI low fat can for dogs on auto ship but he received the royal canin hydrolyzed food instead. We are reshipping out the product for him."
"R07190086620","customer is mad because she ordered this medicine on the 9th and it is not arriving till the 15th and she did pay for 1-2 day shipping. It went by ups ground shipping when it should not have. Angela approved refunding the shipping cost and making a QA"
"R05190079354","Customer moved - stated that she emailed in several times to change her shipping address and 2 orders still shipped out where she was charged and shipped to the wrong address - Not happy"
"R02190069487","Customer only received 1 bag of the OraVet Dental Hygeine Chews. Re-shipping the other 2 bags."
"R05190079863","Customer ordered Hill's® Prescription Diet® Dog w/d® DryDosage : 27.5lb bag Package Quantity : 1 bag - what was delivered is Multi Benefit for dogs - re shipping correct food"
"R05190081049","Customer ordered on the 29th for 1-2 shipping and she is not receiving it before the weekend like she wanted so she wants a refund for shipping"
"R06190083888","Customer ordered Royal Canin Cat Multifunction Urinary + Satiety Dry 6.6lb Bag but got sent Royal Canin Dog Multifunction Urinary + Satiety Dry 17.6lb by mistake. We are shipping her order back to her at no cost. We are also making a case about the shippi"
"R12180060650","Customer paid expedited shipping for this product since she was told that the product would not be blue. Customer would like her $20 back since the product was incorrect. ended up refunding order in full"
"R05190079395","customer payed for  1-2 shipping and took 3 days"
"R05190079197","Customer payed for exhibited shipping is mad that it is going to be delivered today FedEx and not last Friday - she would like the $14.95 refunded"
"R06190082972","Customer payed for next day shipping but it went out of order after he ordered it on the 11th and now it will not arrive till the 17th so a refund is being given for the shipping and handling"
"R07190085521","Customer placed order on 7/1/19 and paid 19.95 for 2nd day shipping. Order is set to be delivered on 7/8/19. Customer requested refund for shipping. Approved by Emily Meyer"
"R07190085842","Customer received her insulin today and the product was hot and the ice inside the package was all melted. We are refunding, reshipping and next day for her at no cost. Approved by Heidi W."
"R07190086148","Customer received Interferon Alpha 2-B Solution 60 units/mL 30mL which came hot and the package of the ice being melted which made it no longer usable so RR is reshipping a new one to the customer."
"R06190083312","Customer received order for a different client. Reshipping food product."
"R07190087721","Customer said she did not receive her food. Sent in a reship and confirmed the shipping address"
"R07190085368","Customer selected 1-2 day shipping option but it has been a week and customer has not received the medicine. Advised the prescription was just approved by vet on 7/2/19. Approved by Heidi Weir to refund shipping charge"
"R05190077452","Customer thought the Vet clinic updated her shipping address - Order went to old address - I updated her shipping address and Janea gave me permission to reship"
"R07190085440","Customer upset package not delivered yet. Vet did not authorize until the 3rd. Please refund 20 dollar shipping cost per April Laskey"
"R06190082031","Customer was Charged shipping on this order"
"R06190082863","Customer was not receiving his order in time even though he payed for faster shipping on the 12th and it is not arriving till the 17th"
"R03190070054","Customer will call, need to refund shipping once the order is closed."
"R04190074000","Customer will call, refund shipping"
"R04190076072","Customer Will Call, refund shipping cost"
"R06190084090","cx didnt recieve package yet, and had paid for the 1-2 business day shipping."
"R06190083893","cx had paid for 1-2 business day shipping and it is oos, so got permission to refund the shipping fee"
"R06190084372","cx had placed an order which had been on autoship, and they changed to one time only not realizing that would change the shipping. there is still an AS on the account so got approval to refund the shipping"
"R05190080869","cx had put in the order, according to them on the 28th. it did show as the 29th, but per Angela, am refunding as a One Time Courtesy, the shipping fee."
"R05190079305","Cx made duplicate orders by mistake, but processed through so quickly, they were unable to cancel before the order was shipping.  Per lead, offered 50% of the second order"
"R05190078429","damaged and shipping time exceeded"
"R06190084178","damaged during shipping"
"R06190081893","damaged upon receiving. reshipping"
"R03190069941","Deceased pet, 10% plus shipping fee refund, approved by Cory S"
"R04190073494","Deceased pet; shipping refund approved per Emily G as lead assist, + 10% on the remainder of order per policy. Client does not want to receive package (emotional) please dispose of meds"
"R06190084776","Deceased pet. Product is still in original shipping box, unopened."
"R03190072144","Deceased pet. Refunding for shipping and 10%"
"R04190076141","deceased pet 10% refund, as a courtesy please refund the $19.95 shipping too"
"R01190066095","Deceased Pet courtesy - 23 cans plus shipping"
"R01190064670","Defective click dose pen, reshipping as syringes."
"R02190068676","delayed delivery no Saturday available noted by Dcook. Clinic was advised in a previous phone call that shipping would be refunded. No CCR was created during original call"
"R03190070736","Delayed shipment. Per Tiffany reshipping as courtesy."
"R01190064122","Delayed shipment - refunding shipping."
"R12180063287","delayed shipping"
"R02190067037","delayed shipping"
"R05190080566","Delay for shipping due to product being OOS. Refunding shipping."
"R02190068295","Delay in order Processing, 1-2 bus day shipping"
"R01190065179","delay in shipping order"
"R02190069250","delay on order. we can refund the shipping. client also would be ok with normal shipping"
"R05190079808","Delays in shipping -- delivered on 7th business day. 20% refund per Courtney"
"R05190080819","Delivered never received - reshipping with signature required"
"R07190086699","Delivered not received - reshipping"
"R03190069929","delivered to the wrong address in a different state.  Reshipping per lead to correct address in Utah."
"R02190069480","did not fall within the shipping parameters"
"R06190082032","Did not get the canned food in package reshipping per Cory"
"R01190063504","did not put it on AS, so she was charged  for shipping charge. Asked me to put them on AS after order was placed"
"R06190081095","Did not receive their food. Double checked the shipping address was correct. Happy with a refund."
"R01190064161","Diet never arrived on 12/5/2018. Client indicates order was shipped correctly, and they have front door cameras (which she confirmed nothing was delivered on that day). Reshipping diet."
"R05190079756","different client received this order. REshipping"
"R12160009952","does not currently need - autoship had not been paused in time - client says original shipping box has not been opened"
"R03190072886","Dr. Bierman called in verbal that was supposed to be bill and shipped  using the Practice Pay option, however this was not done. Place Practice Pay order with expedited  shipping. Please refund 19.95 as a courtesy to the practice."
"R07190085467","dRefunding client for the shipping per emily G"
"R04190073915","Due to an agent error an order got sent out via UPS ground shipping instead of ND shipping, per Cory refunding $10"
"R06190082328","Due to pharmacy error we are reshipping    ---   see case notes 02495213"
"R06190084796","Due to RR NC licencing issue, had to reorder and pay for shipping, refunding shipping per lead approval"
"R05190078442","Duplicate order. Not shipping this portion of order."
"R07190085324","duplicate order placed by myself.  Shipping dept caught the dup but still shipped it.  TR"
"R02190066893","Employee order shipping refund."
"R12180062888","Employee pickup, refund shipping"
"R03190072488","Employee will call, please refund shipping once order closes."
"R07190087338","Employee will call, refund shipping"
"R03190070670","Employee Will Call, refund shipping"
"R05190079930","Employee will call, refund shipping charge"
"R04190076435","Employee will call, refund shipping cost"
"R01190064044","Employee Will Call Refund Shipping"
"R07190086915","escalated, refunded shipping and handling so she would keep product."
"R04190073971","escalated about her order not shipping, refunding shipping so she doesn't cancel the charge on her bank account"
"R02190067299","escalated client due to shipping issue on reshipped order 1000007923175, per Angela"
"R05190078609","escalated client- offered refund of shipping to de-escalate"
"R06190081444","escalated horse owner, refund shipping"
"R07190086705","escalated over OOS refund item and shipping"
"R07190085957","escalated refunding shipping"
"R03190070010","Escalated that order she placed on Fri had not shipped yet and she paid for ""next day"" shipping Explained the order had to be filled and had not yet shipped and would arrive withing 1-2 business days. Per Emily refunding shipping cost."
"R05190077482","Expedited shipping paid for OOS item"
"R05190079491","Expired Rx, no response from clinic, part of order already shipped, closed out shipping, refund needed"
"R12180063420","extended OOS delay please refund for OOS product due to part of order already shipping"
"R01190063852","Fedex errors; order not delivered yet and is being held for pickup. Refund for shipping approved per lead"
"R01190065908","FedEx said there was something wrong with the address when there was not. They are sending it back to us for this reason.

please reship (when we get it back) with *FedEx Next day shipping* to:

Sandra Jackson
4004 Village Lane
Roswell, GA 30075"
"R06190081205","fedex shipping issue"
"R05190080916","FedEX was unable to deliver - reshipping to send with USPS"
"R04190076286","FedEX went to PO Box  send out IMMIDATELY to Physical address with 1-2 BD shipping
283 Fairlane Dr Rosville GA 30741"
"R04190074999","Food got delivered to an old address and was told we would reroute the order, Per April Laskey reshipping food"
"R03190072821","food is on auto-ship but client needed the food sooner and placed order as One Time Only. Refunding shipping and 10% AS discount"
"R03190071494","Food shows it was shipped by EDI. Per Jenae closed out the order and reshipping the food"
"R07190085146","Food solidified as if wet down before packaging. Reshipping per Emily Meyer."
"R06190081575","FSD in to refund shipping"
"R05190079126","full refund for shipping isuses"
"R02190069587","got 4 cases not 6 reshipping 2 per angela"
"R05190078660","Greenies Pill Pockets being OOS are preventing other products from shipping. Closed order, performed 2 no-charge reships per lead approval so that the greenies do not prevent the rest of the order from shipping"
"R03190071882","Had to charge for the 4 doses of Bravecto when  closing out that part of the order, client only wants 2 doses to stay within the BUD. Reshipping 2 doses and refunding for 2 doses."
"R06190082629","Had to get Verbal Auth and Client paid for 1-2 day shipping and is wanting to refund the $19.95 since taking longer than expected."
"R05190080407","has not received order reshipping per Jenae"
"R01190065299","her dog molly has died, told client i would do a 15% refund since she could not use any of the items she ordered. Did nt refund for shipping"
"R06190084686","Incorrect Med Strength Dispensed reshipping and refunding for the difference in price."
"R07190086839","ine full case dented and opened and rotten - reshipping"
"R07190085753","Initial order was unusable due to incorrect shipping being used"
"R07190085780","insulin arrived hot. Refunding shipping"
"R07190085814","Insulin arrived hot and the ice in the container was already melted so the medication was no longer able to use. Refunding shipping."
"R07190085916","insulin shipped 7/3 delivered 7/8 warm. will reship and refund shipping fee"
"R07190085522","insulin shipped on 7/3/19 2nd day, for delivery on 7/8/19. Reshipping due to extended transit time for temp sensitive product"
"R07190086081","insulin shipped on 7/3 not delivered until 7/8 and unusable- refund shipping as a courtesy"
"R07190085926","insulin was in transit for 5 days. Reshipped and refunding shipping"
"R04190073465","internal shipping issue qa is started, checking to make sure client wants it"
"R01190063506","Issues with shipping; refund approved for shipping cost per lead April due to client request"
"R03190072707","Issue with shipping, Supervisor did approve a 50% discount."
"R03190071136","issue with shipping address: destroy meds"
"R03190072999","Issuing refund for shipping cost per Cory, as it was shipped outside of the time-frame."
"R02190068698","Issuing reship since proper return protocal was not followed. Issue could have been avoiding. Reshipping per Anna"
"R03190070428","item didnt arrive reshipping per Angela"
"R03190070635","Item in order is a temperature sensitive item that shipped out on 3.7.19 and is due to arrive to the client by 3.11.19. Client was required to pay for the 2-3 express shipping fee due to the sensitivity of the meds."
"R01190064051","Item out of stock, client paid for 19.95 expedited shipping"
"R07190084921","Items delivered, not received. Per QA reshipping order"
"R02190068634","Item set up or autoship but 2nd order was placed over the phone so shipping fee was applied, per Teamlead we are refunding the charge of $14.95."
"R04190073789","It is shipping to the wrong address and it was due to agent error, per Emily M."
"R03190069954","I verified address -corrected it to the default shipping address...some how it shipped to Oxford NY, (wrong zipcode) instead of Oxford NC. Please refund item as she did not received it."
"R01190065393","Jamie Connally @ clinic would like to refund client for  shipping"
"R06190083201","Last order was RTS reshipping client is out of meds"
"R05190080400","Last reship was cancelled - reshipping to client original order was received by another client."
"R03190072097","Late order due to the clinic not getting back to RR w/ ana auth for the owner's meds. Per Amy V. giving half price on shipping for the owner"
"R05190079820","Latest shipment was supposed to canned, but client got a dry bag. Making QA and reshipping correct item."
"R06190081720","leaked during shipping"
"R06190083519","leaked during shipping"
"R07190085237","leaked out during shipping"
"R05190079513","leaked suring shipping"
"R02190067637","LMOM  - refunding the client for the product - client needs to call back for an updated shipping address"
"R02190067551","Lost in warehouse per amber reshipping"
"R04190075010","Lost in warehouse - reshipping new order to the client"
"R04190075263","Markings rubbed off on syringes - reshipping as a customer courtesy - NOT A DUPLICATE ORDER"
"R08170022534","Medication is clumping and has floating particles. Bambi has requested we have original order returned to us for observation.

Reshipping product as well. No refund."
"R02180032465","Medication issue, reshipping and sending call tag for old order"
"R06190082752","Medication separated - reshipping"
"R01190065510","medication was OOS, has now shipped wanted shipping fee back"
"R06190082208","miscommunication with shipping"
"R01190063684","Ms. Moseley paid for expedited shipping but her order was shipped USPS Priority Mail, please refund her $14.95"
"R05190077476","ND order delayed due to stocking delays- offered to refund shipping charge"
"R02190068899","ND order out of stock and client not happy about it. offered to refund for shipping charge"
"R01190065424","ND shipping went with USPS and did not receive on time refunding shipping per Angela"
"R07190085723","ND temp sensitive order went 2nd day and was in transit 5 days. Refunding shipping"
"R03190072769","needing to have express shipping refunded for medicatation"
"R07190087113","Need physical address to send 1-2 day shipping, Client wants the 3-5 free shipping now, we can refund the shipping"
"R01190065154","never rcvd email. client called upset to place order and requested that we sent order next day but when we placed order instead of selecting regular expedited shipping we charged her for 2nd day delivery. updated DVM for next day delivery.  P"
"R05190080848","Northcaroline Roadrunner shipping issue matching price for Pimobendan from flex tabs to soft chews"
"R02190068275","not received in order, reshipping"
"R04190075673","offered refund for shipping charge due to stock delays. Order placed 4/18 won't ship until 4/24"
"R06190082177","offered to refund for shipping charge due to out of stock delays"
"R05190079714","offered to refund for shipping charge due to stock delay"
"R06190082026","offered to refund for shipping to due exception delays"
"R07190086221","ON 1000011922909 shipped out via FedEx on 07/01/19, but has not been updated since. Still shows as shipping label created."
"R04190076331","One plunger was not working on a tube. Reshipping to clinic as they gave client a replacement."
"R04190073671","One time courtesy refund for shipping since order cannot be canceled"
"R01190066742","one time refund of the shipping for this order, approved by Jenae"
"R03190070536","only received i/d on order did not receive w/d. reshipping client courtesy."
"R07190086655","on the first order with compounded Rx 2-3 day shipping should be free - Cancelled the org order due to WAG - Replaced order for 60ml - customer will need refunded 14.95 for this shipping charge"
"R04190076256","OOS delay per Angela refunding the shipping (14.95) and 20% of order"
"R02190069453","Order #1000008439327 had 31 dented cans. Reshipping 1 case and refunding for remaining 7 cans."
"R04190073913","Order being returned to pharmacy, client request it be sent back out with ND shipping, address is correct on order."
"R07190086680","order being returned to sender, reshipping as client needs product urgently"
"R07190085243","Order cancelled by sender. Refunding shipping fees."
"R04190073462","order contained I/D food instead of w/d. reshipping so she receives correct food, and she will donate the food she did receive."
"R01190066467","ordered the wrong item and clinic approved the wrong item. and per Tammy CSR and refund shipping also since they will have to pay it again."
"R02190068270","ordered with ND shipping but order shipped USPS. Refunding shipping charge per Angela"
"R05190079663","order encounter shipping error"
"R05190077103","order further delayed due to stock issues offered refund for shipping charge"
"R02190069300","Order had to be C&R, agent did not add the ND ship to the new order. Client was expecting the order due to the original shipping method. Per Emily refund 20%"
"R04190076371","order had too long of an address - fixed and reshipping"
"R04190074293","Order in ship ready since 04/01/19 closed tracking and reshipped on ND shipping per Cory S."
"R11180058083","order is being returned back to us please send back out to client with ND fedex shipping when received. 
Please ship to address: 724 NW Cedar St, McMinnville, OR, 97128"
"R05190080861","Order is being returned to sender by USPS. Clinic called in and provided an alternate shipping address for the client. Once received, please ship back out to PO Box 1371 Sorrento, FL 32776"
"R03190069869","Order is still pending in tracking from 2/5/2019. Per Heidi, reshipping order."
"R06190082250","Order mistakenly placed on One Time Shipment instead of Auto-ship. Please refund 14.95 shipping cost per Cory Sibert."
"R02190068012","Order never arrived, reshipping diet."
"R01190064973","Order not delivered, FedEx showed multiple shipping labels, verified correct address and reship.
317 Route 517
McAfee NJ, 07248"
"R07190084863","order placed on 06/28/2019 with 1-2 day shipping today in 07/01/2019 still has not shipped out the status is Ready for Pack - customer is very unhappy that she paid for fastest shipping and demanding her money back"
"R07190086184","Order placed on 06/30/2019 - Pimobendan Soft Chewable 1.25mg 90 count - $19.95 shipping - UPS delivered to the wrong location on 07/02/2019 - On 07/09/2019 - was located and back out for delivery - UPS delivery for today 07/10/2019 - Customer would like r"
"R07190087190","order placed with 2nd day shipping delivered on 6th business day. 20% refund"
"R05190077550","Order sent to incorrect address - reshipping as 1 time courtesy for client"
"R04190073486","Order should not had expedite shipping, placed it by accident. Refunding"
"R04190074589","Order shows shipped on 03/29 however tracking information shows shipping label has been created. The status will be updated when shipment begins to travel. Client never received food item."
"R05190078064","Order took a while to get approved and client is upset he hasn't gotten it. Reshipping as a courtesy."
"R01190063925","Order was placed on 12/28/18 and paid for next day shipping. Order did not ship until 01/02/19, refund for shipping fee approved by CS"
"R07190085602","Order was placed on 7/30 and is still not there. Refunding for 19.95 shipping cost."
"R02190068115","Order was pulled by shipping at Roadrunner but then triggered shipped. Order did not leave facility"
"R06190081568","Order was put in the wrong box and sent to another practice in error.  Making new invoice today and shipping out. TR"
"R06190083447","Order was received. It has his name on the outside shipping information, but the invoice is for Debra Donelson and its a Royal canin adult dry dog food.  It should have been Royal Canin Urinary So dry for cats"
"R05190078966","order was replaced for faster shipping but agent did not reapply $5 discount from 1000010707761"
"R07190085263","order was returned to sender due to incorrect address. please resend to the following address with 2-3 business day expedited shipping.

2617 SE 20th Ct
Homestead, FL 33035"
"R03190070613","Order was sent to our corporate office. Sending call tag to theodore.sorrentino@covetrus.com to retrieve the medication. We are reshipping so no refund is needed once we get it back."
"R06190084450","Order was shipped 6/17/2019 with 3-5 business day shipping, order has not been received."
"R07190085838","Order was shipped over a holiday client received order warm. Client chose 2-3 business day shipping."
"R01190063879","Order was shipped to a wrong address by shipping carrier. It's different than the address that we have on file."
"R01190063478","Order went to incorrect address - please send to address below 1-2 BD shipping
7125 Fruitville Rd
PMB 1703
Sarasota, FL 34240"
"R04190076322","Order went to PO Box with FedEX - Reshipping as we wont get that back until Monday per fedex"
"R01190063904","Order will not be delivered in 1-2 business days. Order is not shipping until 01/04/2019. 
Mr. Neuhart Paid For ND Shipping @ $20.95"
"R06190081294","original order Elissa at the clinic put wrong city on shipping, so it got returned to us.  Then we reshipped and now FedEx has lost it.  Per Amber Phillips shared refund."
"R04190074993","Original order sent to another client - reshipping Denna's order back to her"
"R02190069699","Original order was returned to us and original reship had to be canceled due to our policy.. Client needs ASAP so instead of waiting for returns to process I am just reshipping the order."
"R05190077472","Original order was sent back to us due to address but we have not received it back yet. Reshipping as a courtesy. Will return original order to inventory when it comes back."
"R05190077894","Original products in shipment were incorrect. Clinic gave client product. We are reshipping to clinic so they can restock."
"R12180063007","out of 30ml refunding the difference (price per ml) $2.09 per Ml - 20.90 per 10ml vial +29.79(pharm fee) +19.95 shipping = 133.34 -209.54 =76.20"
"R06190081651","owner called -she said she had called previously & updated her shipping address &cancelled a/s for  Purina® Pro Plan® Veterinary Diets Dog EN Gastroenteric Naturals Dry but it just shipped and she doesn't want it- no longer using dry -requesting refund"
"R05190078207","Owner didn't authorize click dose conversion. Pens make it difficult to dispense variable dose. Reshipping as syringes."
"R01190064321","Owner drove from Chandler to pick up order and it went to shipping in error and shipped. Owner had to wait for the order to be filled again and refunding owner for the inconvenience."
"R06190083039","owner paid for ND ship but it shipped USPS-Owner had PO box for shipping address.  Wants refund for ND ship charge"
"R01190063901","owner pd 1-2 day shipping . and still has not re'vd it . please refunded shipping"
"R04190075287","Owner requested and paid for Next day shipping but because of a computer glitch in shipping the order was shipped USPS"
"R07190087596","Package came melted, reshipping."
"R01190065572","Package got held up at FedEx. Per Cory Refunding for shipping."
"R06190083691","Package lost in transit, reshipping per notes on case 02531082 having confirmed customer's shipping address as 2896 Cardinal Lake Cir
Duluth
GA 30096"
"R04190075440","Package never arrived  - shipping says was delivered but client never got it. Made a QA. No reship needed as client bought a bag from her vet."
"R05190077011","package was lost in shipping per Justin/shipping supervisor"
"R05190078634","paid for 2-3 business day shipping, but product is on MBO, one time courtesy for shipping"
"R01190064270","Paid for 2-3 day S&H. REfunding partial shipping as courtesy."
"R12180062851","paid for 2-3 shipping and didnt get"
"R07190087197","Paid for 2nd day shipping, order was not approved for 3 days, client requesting refund for shipping.  Approved by Corey S"
"R03190070194","Paid for expedited shipping and the order was not delivered on time."
"R04190076342","paid for ND shipping but order was sent USPS, scheduled for delivery on 3rd business day"
